"trip_duration","distance_traveled","num_of_passengers","fare","tip","miscellaneous_fees","total_fare","surge_applied"
335,1.29,1,41.25,0,13.5,54.75,0
587,2.41,1,63.75,0,13.5,77.25,0
1065,8.53,1,135,0,6,141,0
782,1.77,2,67.5,0,6,73.5,0
577,4.38,1,78.75,0,26.625,105.375,1
638,7.37,2,112.5,21,30.825,164.325,1
871,12.36,2,165,0,55.125,220.125,0
336,1.95,5,45,18,26.55,89.55,1
251,0.72,1,33.75,8,5.95,47.7,0
947,3.96,1,93.75,24,26.7,144.45,1
380,1.61,1,48.75,0,6,54.75,0
411,2.3,3,52.5,0,6,58.5,0
659,6.81,1,105,0,26.625,131.625,1
645,3.23,1,71.25,15,6.45,92.7,0
516,1.9,1,56.25,0,6.00000000000001,62.25,0
238,0.55,1,33.75,5,5.8,44.55,0
430,1.11,1,157.5,0,2.25,159.75,0
1255,3.57,2,105,8,5.5,118.5,0
764,3.93,1,82.5,8,26.125,116.625,1
735,3.56,1,75,18,13.2,106.2,0
503,2.59,1,56.25,0,6.00000000000001,62.25,0
890,7.87,1,127.5,0,30.375,157.875,1
398,1.45,1,48.75,12,13.95,74.7,0
880,4.02,0,86.25,0,13.5,99.75,0
1433,3.44,5,116.25,29,26.2,171.45,1
611,2.91,1,67.5,16,13.7,97.2,0
302,1.77,1,41.25,9,6.375,56.625,0
548,1.75,2,56.25,21,13.425,90.675,0
1998,10.4,1,202.5,59,34.3,295.8,1
944,13.04,1,180,15,9.75,204.75,0
248,1.88,1,41.25,10,9.95,61.2,0
1055,6.44,5,116.25,29,26.2,171.45,1
962,2.38,1,82.5,0,13.5,96,0
2587,8.85,1,206.25,46,27.125,279.375,1
4,0.18,1,75,38,1.75,114.75,0
413,1.09,1,45,1,5.6,51.6,0
402,1.51,1,48.75,0,6,54.75,0
2156,15.1,1,232.5,38,26.125,296.625,1
1077,12.46,1,300,38,1.75,339.75,0
538,1.77,3,56.25,16,5.60000000000001,77.85,0
905,3.12,1,82.5,0,13.5,96,0
342,1.93,1,45,18,13.05,76.05,0
1022,13.5,1,191.25,8,9.25,208.5,0
442,2.56,1,56.25,8,26.125,90.375,1
362,1.29,3,41.25,14,5.875,61.125,0
68,0.43,1,150,0,2.25,152.25,0
822,4.73,2,337.5,72,22.95,432.45,1
1254,10.25,1,157.5,33,5.69999999999999,196.2,0
1125,4.76,1,108.75,27,26.7,162.45,1
418,1.06,1,45,15,13.125,73.125,0
400,1.66,1,48.75,19,13.175,80.925,0
314,1.32,5,41.25,14,6.175,61.425,0
144,0.53,1,26.25,0,9.75,36,0
445,2.22,1,52.5,12,5.69999999999999,70.2,0
2809,13.45,1,258.75,71,26.95,356.7,1
684,1.61,1,63.75,0,6,69.75,0
2095,22.42,1,315,69,30.45,414.45,1
1194,4.8,1,112.5,0,13.5,126,0
1902,13.71,2,213.75,0,26.625,240.375,1
410,1.92,1,48.75,12,9.44999999999999,70.2,0
912,3.36,6,82.5,0,6,88.5,0
633,4.01,1,75,27,34.425,136.425,1
385,1.13,1,45,10,6.125,61.125,0
1438,6.78,1,138.75,15,30.375,184.125,1
1560,6.16,1,138.75,0,13.5,152.25,0
894,3.23,1,86.25,0,6,92.25,0
1399,10.51,1,172.5,0,6,178.5,0
1192,10.57,1,165,0,55.125,220.125,0
478,1.63,1,52.5,12,5.69999999999999,70.2,0
722,1.53,1,63.75,0,26.625,90.375,1
1222,5.79,1,116.25,30,34.125,180.375,1
738,3.3,1,78.75,0,6,84.75,0
994,3.17,1,90,0,6,96,0
1111,3.54,1,93.75,38,5.5,137.25,0
479,2.2,2,56.25,8,5.5,69.75,0
737,3.27,1,75,16,6.2,97.2,0
1064,6.24,1,112.5,0,2.25,114.75,0
365,1.46,1,45,7,13.55,65.55,0
1099,4.96,1,108.75,0,26.625,135.375,1
2043,14,1,232.5,22,27.125,281.625,1
1756,9.33,1,168.75,75,26.625,270.375,1
490,2.53,1,60,14,9.7,83.7,0
701,2.09,1,67.5,0,6,73.5,0
1054,10.8,1,161.25,11,6.25,178.5,0
1030,4.51,1,93.75,8,26.125,127.875,1
1333,5.34,1,120,0,34.125,154.125,1
799,4.1,1,86.25,19,9.95,115.2,0
687,1.46,1,60,0,13.5,73.5,0
376,2.04,1,48.75,0,6,54.75,0
1064,11.2,2,150,0,22.875,172.875,1
409,2.57,1,52.5,0,9.75000000000001,62.25,0
1104,3.91,1,97.5,19,26.225,142.725,1
335,1.3,1,41.25,0,9.75,51,0
1200,4.97,3,105,8,9.25,122.25,0
4721,10.73,1,352.5,0,9.75,362.25,0
538,2.46,5,60,0,6,66,0
459,2.37,1,56.25,15,13.5,84.75,0
980,3.59,6,90,38,5.5,133.5,0
2288,6,1,180,22,14,216,0
1061,4.41,1,101.25,0,6,107.25,0
193,1.45,1,33.75,11,9.625,54.375,0
1579,5.44,1,138.75,33,26.7,198.45,1
1370,2.03,1,108.75,31,13.1,152.85,0
1404,13.79,1,206.25,0,36,242.25,0
1635,11.57,1,191.25,0,34.125,225.375,1
451,1.4,1,48.75,23,26.275,98.025,1
617,3.03,1,67.5,0,13.5,81,0
1638,5.95,1,135,32,26.875,193.875,1
523,2.99,1,63.75,27,26.775,117.525,1
1868,1.11,1,135,0,6,141,0
1884,6.98,2,157.5,0,13.5,171,0
3085,14.89,1,285,60,26.625,371.625,1
931,3.52,3,90,0,6,96,0
424,1.53,1,48.75,11,5.95,65.7,0
1661,9.01,1,165,15,26.625,206.625,1
1094,3.33,1,93.75,0,26.625,120.375,1
1070,15.48,1,210,55,9.64999999999998,274.65,0
876,3.28,1,78.75,21,6.15000000000001,105.9,0
710,3.99,1,82.5,0,30.375,112.875,1
787,3.27,1,71.25,0,26.625,97.875,1
916,5.5,1,105,30,13.125,148.125,0
609,2.88,1,63.75,19,30.2,112.95,1
541,2.41,1,60,18,30.375,108.375,1
489,1.96,1,52.5,0,9.75000000000001,62.25,0
638,2.62,1,67.5,0,34.125,101.625,1
1811,5.15,2,146.25,26,26.875,199.125,1
1063,7.08,1,120,38,29.875,187.875,1
735,3.7,1,78.75,0,26.625,105.375,1
160,1.29,1,60,16,1.85000000000001,77.85,0
1116,5.78,1,112.5,30,5.625,148.125,0
6653,20.34,2,506.25,0,6,512.25,0
437,1.93,1,48.75,0,6,54.75,0
1037,11.06,1,187.5,0,2.25,189.75,0
1211,3.25,1,101.25,0,6,107.25,0
863,7.79,1,116.25,25,9.94999999999999,151.2,0
320,1.29,2,41.25,0,6,47.25,0
639,4.06,2,75,22,33.95,130.95,1
678,2.86,1,67.5,16,13.7,97.2,0
706,2.95,4,71.25,8,5.5,84.75,0
576,2.9,1,67.5,38,13,118.5,0
2231,38.3,1,750,0,0,750,0
420,2.56,1,52.5,0,9.75000000000001,62.25,0
550,2.49,2,60,0,9.75,69.75,0
3246,27.15,1,390,0,55.125,445.125,0
906,4.2,1,93.75,0,6,99.75,0
1767,5.62,1,146.25,36,34.2,216.45,1
1389,3.6,1,112.5,30,5.625,148.125,0
1880,3.51,1,146.25,38,26.125,210.375,1
223,1.24,1,37.5,0,6,43.5,0
465,2.27,1,56.25,0,6.00000000000001,62.25,0
357,2.09,1,48.75,15,6,69.75,0
333,1.77,1,45,0,6,51,0
711,1.93,1,63.75,17,6.39999999999999,87.15,0
791,1.63,6,71.25,8,33.625,112.875,1
1539,6.6,1,135,30,13.2,178.2,0
201,1.24,2,112.5,0,2.25,114.75,0
1291,11.75,1,183.75,22,27.125,232.875,1
373,1.16,1,41.25,0,6,47.25,0
1580,11.81,1,195,0,6,201,0
1572,4.94,1,127.5,31,26.45,184.95,1
402,1.75,1,48.75,18,9.30000000000001,76.05,0
825,4.26,1,93.75,21,9.45,124.2,0
4,0.34,1,75,23,2.425,100.425,0
589,1.82,1,60,0,13.5,73.5,0
122,0.74,1,30,0,6,36,0
1196,5.17,1,105,26,26.95,157.95,1
1325,5.63,1,120,31,33.95,184.95,1
926,4.55,1,90,0,26.625,116.625,1
422,2.24,1,52.5,19,9.425,80.925,0
827,4.92,1,93.75,0,9.75,103.5,0
1248,4.43,1,108.75,0,6,114.75,0
284,1.26,1,41.25,9,6.45,56.7,0
897,4.43,1,93.75,26,33.7,153.45,1
788,2.9,1,78.75,0,13.5,92.25,0
177,0.9,3,30,7,6.2,43.2,0
359,2.3,1,52.5,16,9.35000000000001,77.85,0
295,1.43,1,41.25,0,13.5,54.75,0
558,3.15,1,67.5,0,13.5,81,0
556,2.43,1,60,0,6,66,0
1265,14.64,5,195,0,30.375,225.375,1
638,3.94,1,75,21,30.45,126.45,1
736,2.54,1,67.5,0,6,73.5,0
2845,26.07,1,371.25,0,9.75,381,0
706,3.4,1,78.75,0,13.5,92.25,0
2347,8.37,1,195,0,26.625,221.625,1
1093,6.07,1,120,8,5.5,133.5,0
435,1.9,1,48.75,0,6,54.75,0
837,3.03,1,78.75,15,26.625,120.375,1
2487,15.34,2,243.75,0,75.75,319.5,1
1860,5.33,1,142.5,0,13.5,156,0
676,3.06,1,71.25,0,30.375,101.625,1
1348,5.81,1,123.75,23,26.2,172.95,1
1043,5.15,1,101.25,0,6,107.25,0
428,1.29,1,48.75,17,33.7,99.45,1
15917,40.36,1,1196.25,0,6,1202.25,0
681,4.15,1,90,0,6,96,0
220,0.95,1,33.75,9,13.95,56.7,0
638,2.67,1,63.75,0,6,69.75,0
657,1.69,1,63.75,23,13.675,100.425,0
1602,19.34,1,266.25,64,55.4,385.65,0
241,1,1,33.75,0,9.75,43.5,0
564,2.41,1,60,0,6,66,0
629,2.62,2,60,19,33.95,112.95,1
244,1.5,1,41.25,0,13.5,54.75,0
653,2.99,1,71.25,0,6,77.25,0
588,2.83,1,63.75,0,6,69.75,0
784,3.03,1,75,0,6,81,0
653,2.95,1,67.5,16,13.7,97.2,0
990,2.62,1,86.25,17,5.575,108.825,0
326,1.34,1,41.25,9,6.45,56.7,0
620,3.15,1,71.25,15,6.45,92.7,0
2508,25.2,1,390,96,88.6500000000001,574.65,0
826,3.04,1,90,0,2.25,92.25,0
722,3.43,1,75,20,6.25,101.25,0
2143,13.23,5,210,8,13,231,0
725,2.78,1,71.25,23,6.175,100.425,0
1371,12.87,1,183.75,60,54.825,298.575,0
263,1.32,2,37.5,0,6,43.5,0
480,1.63,1,52.5,0,6,58.5,0
1114,3.54,2,97.5,0,26.625,124.125,1
609,3.2,1,71.25,11,26.875,109.125,1
1245,12.39,1,180,9,6,195,0
1095,8.8,1,135,0,30.375,165.375,1
1006,4.99,1,105,0,6,111,0
453,2.12,1,52.5,16,26.45,94.95,1
2070,11.49,1,202.5,0,75.75,278.25,1
568,2.48,1,60,22,10.25,92.25,0
687,3.35,1,75,20,26.95,121.95,1
2161,10.54,1,213.75,25,26.375,265.125,1
15,2.57,1,18.75,0,13.5,32.25,0
418,1.88,1,52.5,8,26.125,86.625,1
478,2.41,1,56.25,0,6.00000000000001,62.25,0
1249,4.75,1,108.75,0,6,114.75,0
473,2.03,1,56.25,38,29.875,124.125,1
1140,8.13,1,138.75,0,34.125,172.875,1
359,1.43,1,45,0,13.5,58.5,0
442,1.85,1,52.5,0,6,58.5,0
610,5.68,1,93.75,0,9.75,103.5,0
573,3.19,1,67.5,8,5.5,81,0
537,3.01,1,63.75,22,9.8,95.55,0
1349,6.26,1,123.75,31,30.2,184.95,1
174,0.32,1,30,0,6,36,0
501,2.72,1,60,0,26.625,86.625,1
624,2.77,1,63.75,0,34.125,97.875,1
614,3.89,1,71.25,0,26.625,97.875,1
644,2.43,1,63.75,0,6,69.75,0
296,1.29,1,37.5,14,34.45,85.95,1
973,5.15,1,101.25,26,30.7,157.95,1
1499,8.37,1,146.25,18,34.2,198.45,1
542,1.66,1,56.25,16,5.60000000000001,77.85,0
421,1.29,1,45,15,6,66,0
465,2.86,5,60,14,9.7,83.7,0
906,2.78,1,75,45,34.125,154.125,1
647,2.96,1,67.5,5,26.35,98.85,1
395,2.24,1,48.75,11,5.95,65.7,0
337,1.48,1,41.25,9,6.45,56.7,0
568,3.23,1,67.5,19,10.1,96.6,0
598,2.57,1,63.75,0,6,69.75,0
994,4.73,1,93.75,26,33.7,153.45,1
128,1.08,1,30,0,9.75,39.75,0
845,3.06,1,82.5,8,26.125,116.625,1
312,1.72,1,45,8,13,66,0
497,2.41,1,60,0,13.5,73.5,0
252,1.43,1,37.5,0,9.75,47.25,0
943,4.83,1,97.5,0,6,103.5,0
598,2.25,1,60,16,6.5,82.5,0
101,0.56,1,26.25,1,5.75,33,0
936,8.19,1,135,28,6.19999999999999,169.2,0
2299,9.7,1,187.5,0,62.625,250.125,0
342,1.3,1,37.5,0,13.5,51,0
1217,6.82,2,123.75,0,13.5,137.25,0
346,1.67,1,41.25,0,6,47.25,0
391,2.09,1,48.75,16,6.125,70.875,0
1244,6.07,1,123.75,26,5.95000000000002,155.7,0
317,1.56,1,41.25,0,6,47.25,0
946,3.67,6,86.25,0,26.625,112.875,1
13147,56.86,1,750,0,51.375,801.375,0
1739,17.06,1,240,61,6.125,307.125,0
1438,8.27,1,150,0,9.75,159.75,0
475,2.67,1,75,0,2.25,77.25,0
651,3.56,1,75,38,26.125,139.125,1
285,1.38,1,41.25,0,6,47.25,0
1832,10.46,2,187.5,30,9.75,227.25,0
605,3.93,5,75,17,9.7,101.7,0
1232,10.33,1,165,34,6.19999999999999,205.2,0
1968,10.8,2,262.5,0,2.25,264.75,0
784,3.49,1,78.75,15,9.75,103.5,0
1377,5.02,1,120,0,6,126,0
1124,4.96,1,108.75,27,26.7,162.45,1
727,3.48,1,78.75,0,13.5,92.25,0
700,3.15,1,75,20,6.25,101.25,0
910,3.8,1,90,0,13.5,103.5,0
424,1.82,1,48.75,12,9.44999999999999,70.2,0
1001,4.62,4,97.5,33,34.05,164.55,1
371,1.56,1,45,18,13.05,76.05,0
1473,8.32,1,150,36,30.45,216.45,1
418,1.69,1,48.75,0,6,54.75,0
2175,7.55,1,172.5,40,26.45,238.95,1
1575,8.87,1,157.5,0,13.5,171,0
148,0.77,1,30,0,6,36,0
662,3.12,1,71.25,24,10.05,105.3,0
368,1.16,1,41.25,0,6,47.25,0
417,1.88,1,52.5,0,9.75000000000001,62.25,0
1456,10.57,1,172.5,50,26.425,248.925,1
120,1.17,6,30,9,13.2,52.2,0
1319,7.31,1,138.75,29,5.94999999999999,173.7,0
457,2.3,1,56.25,14,13.45,83.7,0
349,1.06,4,41.25,9,6.45,56.7,0
512,3.06,1,63.75,14,26.2,103.95,1
328,2.35,2,48.75,16,30.2,94.95,1
858,5.84,1,105,0,9.75,114.75,0
385,0.97,1,41.25,0,9.75,51,0
848,3.96,2,86.25,0,9.75,96,0
875,3.22,1,82.5,0,13.5,96,0
361,2.41,1,48.75,8,13,69.75,0
710,2.77,1,71.25,23,6.175,100.425,0
817,4.65,1,90,0,6,96,0
121,0.77,1,30,4,6.5,40.5,0
680,4.17,1,82.5,15,26.625,124.125,1
1322,7.66,1,138.75,34,30.2,202.95,1
1188,4.86,1,112.5,29,34.45,175.95,1
352,1.38,1,41.25,0,6,47.25,0
456,1.79,1,52.5,0,13.5,66,0
530,1.48,1,56.25,0,6.00000000000001,62.25,0
477,2.17,2,52.5,0,34.125,86.625,1
784,3.59,1,75,30,27.075,132.075,1
179,1,1,30,2,5.5,37.5,0
1197,9.17,1,153.75,36,26.625,216.375,1
604,3.46,1,71.25,16,9.95,97.2,0
767,2.9,1,71.25,0,13.5,84.75,0
1148,4.8,1,105,0,26.625,131.625,1
865,1.64,2,75,22,13.625,110.625,0
421,2.69,3,56.25,12,6.45,74.7,0
1176,8.59,2,138.75,25,30.725,194.475,1
214,3.14,1,52.5,0,30.375,82.875,1
462,1.45,1,48.75,0,6,54.75,0
453,3.03,1,60,18,30.45,108.45,1
549,1.74,1,56.25,12,6.45,74.7,0
688,2.72,1,71.25,17,13.45,101.7,0
2396,10.54,1,206.25,45,26.25,277.5,1
264,2.19,1,45,12,13.2,70.2,0
719,2.95,1,71.25,0,13.5,84.75,0
666,2.48,1,63.75,0,6,69.75,0
388,1.74,1,48.75,11,5.95,65.7,0
763,3.22,4,78.75,22,27.125,127.875,1
2595,15.02,1,258.75,59,33.7,351.45,1
371,1.61,1,48.75,0,6,54.75,0
404,4.04,1,67.5,19,10.1,96.6,0
1298,7.24,1,131.25,34,6.125,171.375,0
167,1.05,1,33.75,15,13.5,62.25,0
821,3.46,1,82.5,0,6,88.5,0
309,1.19,1,41.25,7,6.05,54.3,0
422,1.83,1,48.75,11,5.95,65.7,0
254,1.24,1,37.5,0,6,43.5,0
603,3.8,1,75,26,30.7,131.7,1
1161,6.61,1,123.75,33,10.125,166.875,0
2246,12.42,1,112.5,0,2.25,114.75,0
690,1.87,1,63.75,14,5.95,83.7,0
321,1.24,1,41.25,9,6.45,56.7,0
1023,4.67,1,97.5,0,26.625,124.125,1
709,8.3,1,123.75,0,9.75,133.5,0
1194,8.63,1,146.25,35,26.2,207.45,1
859,4.89,1,90,19,26.375,135.375,1
437,1.51,1,48.75,0,6,54.75,0
3764,26.57,1,405,0,6,411,0
576,2.91,1,67.5,15,34.35,116.85,1
935,5.39,1,97.5,0,6,103.5,0
2029,17.28,1,258.75,57,26.7,342.45,1
2990,14.84,5,285,108,75.975,468.975,1
811,1.77,1,71.25,0,13.5,84.75,0
1214,4.78,2,108.75,0,6,114.75,0
558,7.39,1,108.75,0,9.75,118.5,0
1686,10.67,1,187.5,54,26.175,267.675,1
3,8.21,1,146.25,0,9.75,156,0
445,1.98,1,52.5,0,9.75000000000001,62.25,0
719,4.12,1,78.75,22,30.2,130.95,1
1079,5.26,6,105,15,26.625,146.625,1
1056,3.06,1,90,25,33.95,148.95,1
1332,8.19,1,135,30,13.2,178.2,0
1450,5.86,1,135,0,9.75,144.75,0
923,2.72,1,86.25,18,6.45,110.7,0
1176,10.17,1,153.75,0,13.5,167.25,0
525,2.74,1,63.75,0,6,69.75,0
136,0.4,1,26.25,8,26.125,60.375,1
346,1.35,1,41.25,8,13,62.25,0
357,1.79,1,45,13,5.75,63.75,0
643,2.9,1,71.25,20,26.2,117.45,1
1128,8.19,1,138.75,0,34.125,172.875,1
815,10.32,1,150,30,26.625,206.625,1
